_sOO32rszOs,,"Pc Rent Occurred Live    : Dr Pradip Mohanta - 4th May, 2024",This surgery video is only for education purpose.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A9rFmoEQfac,,Fine Art tips with an Incredible Art Lesson with Master Artist Barry McCann on Colour In Your Life,"In this fine art TV show episode Barry McCann is interviewed with Colour In Your Life about painting, drawing, art workshops, art tips, and art techniques.

Help support CIYL's growth around the globe and become a patron of the arts today at: https://www.patreon.com/user?u=4830007

https://www.youtube.com/c/ColourinyourlifeAu
New fine art TV show episodes loaded every Wednesday AEST.
https://www.facebook.com/PutSomeColourInYourLife/
https://www.colourinyourlife.com.au/

Fine Art TV Series - Colour In Your Life
Season - 04
Episode - 11
Filmed on Location at - Armidale, NSW, Australia

Barry McCann was born in 1962 in Armidale NSW Australia, where he now lives with his wife Lucy, also a full time artist. Together they run McCann Fine Art, producing, selling and teaching art.He is the recipient of numerous awards and prizes and his works hang in collections around the world.

Barry McCann¡¯s interest in art began with his love of drawing as a young student presenting school assignments with more illustrations than text and developed further as a young adult during his college years. Drawing became a way of gaining some pocket money and new friends.

His artistic interest and flair became very advantageous with his chosen trade as a Chef and Cake Decorator, but it wasn¡¯t until he enrolled in an introductory Watercolour course at the Canberra School of Arts, A.C.T. that his appetite for art really began. Armed with an insatiable thirst for art knowledge, he stumbled upon a book about the life and works of artist John Singer Sargent and this has influenced his work and artistic vision ever since. He has studied with many leading artists in their field in order to build on his skills and in 2000 he began painting as a fulltime career. Barry¡¯s love of art has taken him to some of the best museums and art galleries in the world where he draws constant inspiration.

His subject matter usually involves an animated object with a dramatic light effect and enjoys the constant challenge of trying to portray the illusion of both movement and form with a narrative theme. The pursuit of conveying beauty in his work is paramount. He believes that art is a visual language and should need little explanation¡­ you should just like looking at it. Finding the middle ground where traditional representational art can be fused with a more modern look is something he strives for. His work usually portrays a traditional scene and is painted using loose edges, obvious brushstrokes, dribbles, spatter or ¡°movement lines¡± all of which are used in contemporary art practices.

Barry McCann would like his viewers to not have an opinion of his work, but a connection or a response.. 

You can contact the artist about their art tips or art techniques directly via their website http://www.mccannfineart.net.au/

To get the best art materials, make sure you buy from the best.  We have an affiliate arrangement with Blick Art Materials, so by clicking through this link you not only support us (thank you!) you support a great company with over 90,000 art products to help improve your arts practice!
http://www.colourinyourlife.com.au/blick

A wonderfully engaging art show, If you love creativity and the joy of looking at the world through Art, then Colour In Your Life is the place to be.

Colour In Your Life is an Australian owned and produced TV art show.
https://www.colourinyourlife.com.au/
Subscribe here - http://bit.ly/ColourInYourLife
Water Color painting  
https://www.youtube.com/watch?v=qDqpmSwyHqQ&t=40s
https://www.youtube.com/watch?v=X2a7qb_NZTYhttps://www.youtube.com/watch?v=FBGfrwtQASE
https://www.youtube.com/watch?v=F_Bl7JXQUTghttps://www.youtube.com/watch?v=XWkP207B174https://www.youtube.com/watch?v=4ewfn5Y8_Xs
https://www.youtube.com/watch?v=wSZijGRQNC
https://www.youtube.com/watch?v=4vXB2R8ybDE
https://www.youtube.com/watch?v=_w-HdVqGMOA
https://www.youtube.com/watch?v=Tno-7P3FhJ0
https://www.youtube.com/watch?v=lLWEXRAnQd0
lhttps://www.youtube.com/watch?v=UQ-RTZCOQn0
https://www.youtube.com/watch?v=mT0RNrTDHkI
https://www.youtube.com/watch?v=-ZW-ZnQoj5g
https://www.youtube.com/watch?v=y35p39Lgf7E



learn to Draw  
https://www.youtube.com/watch?v=ewMksAbgdBIhttps://
www.youtube.com/watch?v=iMEBSQJYaAYhttps://www.youtube.com/watch?v=zqNZ9df0thohttps://www.youtube.com/watch?v=8hcZDNH3_Wc
https://www.youtube.com/watch?v=yyfPULeQhPohttps://www.youtube.com/watch?v=lqNzTm2q2N4https://www.youtube.com/watch?v=Fg46N6VJPpIhttps://www.youtube.com/watch?v=T5tGiseJAGY",Free Lessons on painting Portraits,Barry Macann,Acrylic Artists Master Artist,Art lessons online,Learn to paint in Acrylics,Painting with Acrylics,Painting the ocean,learn to paint with oils,Painting sea Scapes with Oils paints,learn to paint with water colours,painting for beginners,barry mccann,portrait painting,portrait painting acrylic,portrait painting tips,painting with acrylics on canvas for beginners,fine art,how to paint,teach yourself to draw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rlsSErPfTRA,,C¨®mo integrar una persona en otra fotograf¨ªa con Photoshop,"En este tutorial os muestro c¨®mo integrar una persona en otra fotograf¨ªa consiguiendo que quede perfectamente integrada.

?? ¨²nete a la comunidad de Miembros del canal y disfruta de las ventajas: https://www.youtube.com/c/Tripiyon/join
?? Descargas ilimitadas de +60 millones de recursos, 50% de Dto. en suscripci¨®n anual, o accede a prueba gratuita de 7 d¨ªas y descarga los recursos que quieras: https://bit.ly/3sQ2FBb
?? Tienda oficial de Tripiyon Tutoriales: https://bit.ly/3uGBk2G

?? ENLACES A FOTOGRAF¨ªAS PARA SEGUIR EL TUTORIAL
- Fotograf¨ªa de calle desde pixabay.com: https://bit.ly/2U06iG1
- Fotograf¨ªa de modelo desde pixabay.com: https://bit.ly/3AhVi6f

?? TUTORIALES RELACIONADOS
- Seleccionar y aplicar m¨¢scara en Photoshop: https://youtu.be/AvmiBcym1vI
¡ª C¨®mo crear sombras realistas y darles su tono correcto en Photoshop: https://youtu.be/B8DAfOl2vyc

?? Recursos gratuitos en: https://goo.gl/gxH0qs

?? T¨¦cnicas usadas:
- Ajustes de color.
- Seleccionar y aplicar m¨¢scara.
- T¨¦cnicas de iluminaci¨®n.
- Desenfoque selectivo.
- M¨¢scaras de capa.

Empezar¨¦ a?adiendo la fotograf¨ªa de la modelo a la fotograf¨ªa donde queremos integrarla, para pasar a hacer un recorte, de manera que pierda por completo el fondo original para pasar a tener como nuevo fondo la nueva fotograf¨ªa.

A continuaci¨®n har¨¦ los ajustes necesarios para igualar tanto iluminaci¨®n como temperatura de color para que quede perfectamente integrada. Incluyendo alg¨²n truquillo de iluminaci¨®n para mejorar el resultado final.

?? M¨¢s tutoriales escritos en: https://www.tripiyon.com

?? Instructor Certificado en ConectaTutoriales (Photoshop) - Grupo oficial de Adobe en Espa?a: http://adobe.conectatutoriales.com",tutorial,tutoriales Photoshop,Adobe Photoshop,Adobe Photoshop CC 2017,Software,retoque,integrar persona,montaje,fotomontaje,a?adir persona a fondo,photoshop,seleccionar y aplicar m¨¢scara,selecci¨®n r¨¢pida,selecciones complejas,perfeccionamiento de borde,cambiar fondos,extraer cabello con photoshop,extraer im¨¢genes,extraer imagen en photoshop,extraer fondos,extraer pelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ed7HdxIQdRY,,Dry AMD and the Potential for Treatments,Clare Bailey from Bristol Eye Hospital joins our Virtual Clinic to discuss potential treatments on the horizon for dry AMD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKVIBaag1Ho,,Ciclo de Retina: Cerclaje Escleral,Diana Lopez (29/04/2020),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kt0UqCheRwc,,23Gauge Cannula/Trocar System Insertion and Removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mz2DIGg3i24,,Smartphone ophthalmoscope DIY,RANZCO 2016 Best film overall by oDocs Eye Care. Visit www.odocs-tech.com for more information. Smartphone ophthalmoscope and smartphone slit lamp microscope digitally manufactured.,smartphone ophthalmoscope,odocs,smartphone slit lamp,digital manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAGyogaswV8,,OCTer?a Lecture PAMM e AMN,"Neste v¨ªdeo Dr. Ricardo Leit?o Guerra discute os achados de OCT da PAMM (Paracentral Acute Middle Maculopathy) e da AMN (Acute Macular Neuroretinopathy) em uma aula realizado na sess?o OCTer?a.
_______________________________________________
English and Spanish subtitles available
Please leave your comments

In this video Dr. Ricardo Leit?o Guerra discusses the OCT findings of PAMM (Paracentral Acute Middle Maculopathy) and AMN (Acute Macular Neuroretinopathy) in a class held at the OCTer?a session.",OCT,PAMM,AMN,retina,aula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5naMwaoXWyA,,Vitrectom¨ªa: cirug¨ªa para acceder al fondo del ojo ¨C Dr. Borja Corc¨®stegui,"El Dr. Borja Corc¨®stegui, pionero de la vitrectom¨ªa en Espa?a, da algunas claves sobre esta cirug¨ªa, que ha alcanzado altos niveles de eficacia y sofisticaci¨®n frente a enfermedades de la retina.

Suscr¨ªbete a nuestro canal y activa la campana para no perderte las novedades ?

Leer m¨¢s sobre vitrectom¨ªa ? http://ht.ly/HTVj30pBS1T 
Instagram: https://www.instagram.com/imobarcelona/ 
Facebook: https://www.facebook.com/imobarcelona
Twitter: https://twitter.com/imobarcelona
LinkedIn: http://ht.ly/BiDY30pfk2z",IMO,Instituto Microcirug¨ªa Ocular,microcirug¨ªa,oftalmolog¨ªa,Dr. Borja Corc¨®stegu,vitrectom¨ªa,vitrectom¨ªa en Espa?a,enfermedades de la retina,retina,microcirug¨ªa ocular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-DhVWsD8B0,,Surgery: Simple Vitreous Hemorrhage: Dr. Manish Nagpal,"This video demonstrates the surgery for a simple vitreous hemorrhage. The hemorrhage was aspirated using a cutter with high cutting rate. The hyaloid was separated from the hemorrhage and was removed using the cutter. The hemorrhage was cleared starting from the center and moving towards the periphery. A laser was done to seal a small blood leak and air fluid exchange was done.
Surgeon: Dr. Manish Nagpal, Retina Foundation & Eye Research Centre, Ahmedabad, India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crEbxcaNohA,,Unedited vitrectomy(3x speed) for lasered PDR with focal TRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64cMjPRts6A,,ALERTA M¨¢XIMA?MISTERIOSA HEPATITIS FULMINANTE SE EXTIENDE POR EL MUNDO,"La OMS alerta de un brote de hepatitis grave de origen desconocido que cuenta ya con m¨¢s de 80 casos en Europa. Una amenaza infecciosa que pone en riesgo a los menores de 10 a?os, que no responde a los patrones establecidos de la enfermedad. 
Hola soy el Dr. Manuel Cano (M20007513) y estar¨¦ respondiendo todas sus dudas y consultas. Sera un gusto serle de ayuda

??Recuerde que puede HACERSE MIEMBRO y disfrutar de beneficios exclusivos:
  https://www.youtube.com/channel/UCZ1FSwVmNPhpHjHIbqMglzA/join

?? Consultas, dudas o sugerencias, ponte en contacto conmigo: 
--Twitter ? https://twitter.com/MedicoYoutuber 
--Instagram ? https://www.instagram.com/medicoyoutuber
--Facebook ? https://fb.me/MedicoYoutuber
--Email: doctormanuelcano@gmail.com

_____________________________________________________________________________
? Videos Recomendados:
???POR QU¨¦ SURGEN TANTAS VARIANTES NUEVAS DEL CORONAVIRUS? ?? ¨®MICRON, PI, SIGMA, OMEGA
Enlace: https://youtu.be/zR8az97Vlxw

??S¨ªndrome Post COVID-19 ?qu¨¦ s¨ªntomas persisten despu¨¦s del coronavirus?
Enlace: https://youtu.be/mJKCKlFghsU

???C¨®mo saber si tengo COVID-19, Gripe o Resfriado? Aprende a diferenciar los s¨ªntomas
Enlace: https://youtu.be/D8XpOs2WPzA

??COVID-19: PRUEBAS DE ANTICUERPOS ?c¨®mo interpretar los resultados IgM/IgG?
Enlace: https://youtu.be/XiFRCs48jXQ

??COVID-19: ?por qu¨¦ se pierde el olfato y el gusto? ?cu¨¢nto tarda en recuperarse? ?qu¨¦ tan malo es?
Enlace: https://youtu.be/2y0qQ9vhfgk

??C¨®mo diferenciar la p¨¦rdida de olfato y gusto por coronavirus de la producida por un resfriado
Enlace: https://youtu.be/e-fGcB3PQU0

???qu¨¦ se siente al tener COVID-19? ?por qu¨¦ duele? ?qu¨¦ tan malo es?  SINTOMAS desde el DIA 1
Enlace: https://youtu.be/ZUhde0TS2Xk

???Qu¨¦ debe comer un enfermo de Coronavirus COVID-19?
Enlace: https://youtu.be/oFENbG-30Mw

???Qu¨¦ Vitaminas puedo tomar si tengo Coronavirus COVID-19?
Enlace: https://youtu.be/Cy8YC7lPVmU

??ASINTOM¨¢TICOS COVID-19 CORONAVIRUS: Esto es lo que pasa dentro del cuerpo
Enlace: https://youtu.be/24V9jvB6V6I


#medicina  #urgente  #covid19

Alerta en el Reino Unido por la aparici¨®n de casos de hepatitis viral en ni?os
La Agencia de Salud P¨²blica de Escocia estudia un peque?o n¨²mero de casos de hepatitis en ni?os peque?os. ?Qu¨¦ se sabe hasta el momento?
Claves para detectar de forma precoz la hepatitis en los ni?os: V¨®mitos, ictericia, color claro en las deposiciones
Nueva ola de contagios en China
Hong Kong, desbordado por la COVID-19
Hong Kong enfrenta el peor brote de covid-19 desde el inicio de la pandemia
Hong Kong sacrificar¨¢ a miles de h¨¢msters por casos de COVID-19 en mascotas
COVID lleva los hospitales de Hong Kong al 100% de capacidad
El sacrificio de h¨¢msters en Hong Kong al sospechar que son el origen de un brote de contagios de covid
Pacientes hospitalizados en la calle en Hong Kong
?Cu¨¢les son los s¨ªntomas de la nueva variante ¨®micron?
?Cu¨¢ndo terminar¨¢ la pandemia?
?C¨®mo acaba la pandemia? 
?Cu¨¢ndo terminar¨¢ la pandemia de la COVID-19?
?Cu¨¢ndo 'termina' el coronavirus y vuelve todo a la normalidad?
?Qu¨¦ significa ¨®micron?
?Por qu¨¦ el nombre ¨®micron?
?Qu¨¦ se sabe sobre la variante ¨®micron?
?Qu¨¦ causa la variante ¨®micron?
?Cu¨¢les son los s¨ªntomas de la nueva variante ¨®micron?
Pandemia de covid-19 ""est¨¢ lejos de haber terminado"", afirma director de la OMS
La OMS pide no bajar la guardia: ¡°¨®micron es menos grave, pero la narrativa de que es una enfermedad leve cuesta vidas¡±
As¨ª es BA.2, la nueva variante sigilosa de ¨®micron que crece en Europa
As¨ª es BA.2, la nueva versi¨®n de ¨®micron que est¨¢ creciendo en el mundo
BA.2, la NUEVA SUBVARIANTE de ¨®MICRON | RTVE Noticias
Europa investiga a ¨®micron BA.2, una nueva versi¨®n que crece en Dinamarca y Reino Unido
BA.2, el sublinaje de ¨®micron que pone en tensi¨®n a Dinamarca y Reino Unido
La '¨®micron sigilosa' ya est¨¢ aqu¨ª: una nueva versi¨®n llamada BA.2 que alarma al mundo
El sublinaje de ¨®micron, BA.2, pone en tensi¨®n a Reino Unido y Dinamarca
Qu¨¦ se sabe sobre BA.2, la nueva versi¨®n coronavirus conocida como '¨®micron sigilosa'",Hepatitis,Hepatis Europa,Hepatitis reino unido,Hepatitis eeuu,Casos de hepatitis grave,sintomas hepatitis grave,hepatitis ni?os,sintomas,Casos de ictericia,Brote de hepatitis,Hepatitis fulminante,Adenovirus 41,Efecto a largo plazo covid,Long covid,casos de hepatitis Europa,Outbreak,virus,covid 19 y hepatitis,hepatitis por covid19,hepatitis por adenovirus,pandemia de hepatitis europa,zika,hepatitis c,dr cano,cepa,variante,nueva,pandemia,hepatitis,oms,alerta,,,,,,,,,,,,,,,,,,
4TgFFmBatjI,,"Grandma's 50 years recipe surprised everyone!  Healthy, easy,  and delicious","Grandma's 50 years recipe surprised everyone!  Healthy, easy, and delicious

Pour boiling water into corn flour, you'll be surprised by the result!  
Ingredients:
corn flour 60g/0.5cup
boiling water 60ml
all-purpose or bread flour 150g
salt 1.5g/ ?tsp
warm water 80ml
active dry yeast 2g/ ?tsp
white sugar 12g/1tbsp
olive oil 15g/1tbsp

Recipe:
Welcome to my channel!
Today I'll be sharing a super delicious and easy recipe with cornflour!
60g cornflour
60ml boiling water
Mix well

150g all-purpose or bread flour
1.5g salt
80ml warm water
12g white sugar
2g active dry yeast
Mix well until the ingredients are combined
15g olive oil
Knead the dough with your hands until the surface is smooth
Cover and rise until double size

Deflate the air bubbles
Sprinkle some flour on the kneading board
Place the dough on the work surface
Cut the dough like this
Roll out the dough
Divide and cut into 8 pieces
Take a piece of dough and shape it 
Repeat with the other pieces of dough
Don't forget to turn on notifications to stay tuned with I post new videos! Don't forget to turn on notifications to stay tuned with I post new videos!.

Cover and rest for 10 minutes
Sprinkle some flour on the kneading board
Take a piece of dough
Use a rolling pin to flatten the dough
The diameter is about 12 cm

Medium heat
Place the dough in the pan without oil
Flip
The dough fills with air!
Repeat
If you haven't already, don't forget to subscribe!
It only takes you a second to subscribe and I appreciate it a lot!
If you have any questions, leave a comment down below and I will try my best to answer them all!
Done!

These corn flour flatbreads are so delicious!
They're so soft!
There's a space inside the bread so you can fill it!
You can fill it with whatever you like!
If you have cornflour at home, you must try this super delicious recipe!
Subscribe, like, comment, and share!
Thank you for watching!



***Cooking gears I used in all my videos*** 
US: https://www.amazon.com/shop/hellysimplerecipe
Canada: https://www.amazon.ca/shop/hellysimplerecipe


*** SUBSCRIBE ***
to my YouTube Channels for more videos and click the bell so you will not miss any of my videos: 
https://www.youtube.com/c/HellysSimpleRecipe/featured
https://www.youtube.com/channel/UCvuO5RHwhsJUbSWXK6w7bjA


*** FOLLOW MY PAGE ***
Instagram:  https://www.instagram.com/helly_simple_recipe/
Facebook:  https://www.facebook.com/helly.li.35
Twitter: https://twitter.com/li_helly",No,Knead,Easy,Simple,Recipes,Bread,Breakfast,Simple recipes,Easy recipes,Kids lunch Ideas,Helly,Hellys Simple recipes,No-knead bread,Easy bread,baking,cooking,kitchen,yummy food,bread,make,bake,tasty,delicious,recipes,cook,food,dough,bun,sweet,breakfast,lunch,dinner,simple,,,,,,,,,,,,,,,,
5XoPZImsNrI,,Learn About Ocular von Hippel-Lindau Disease With Dr. Henry Wiley,"Listen in as Dr. Henry Wiley ¡ª a staff clinician at the National Eye Institute (NEI) ¡ª discusses ocular von Hippel-Lindau disease. 

Follow NEI on Facebook: https://www.facebook.com/NationalEyeInstitute. 
Follow NEI on Twitter: https://twitter.com/NatEyeInstitute 
Follow NEI on LinkedIn: https://www.linkedin.com/company/national-eye-institute-nei",NEI,National Eye Institute,vision,research,science,grants,clinical trials,prevent blindness,eye disease,opthamology,ocular von hippel-lindau disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rir_fuLX7HM,,Carlos Rivera - Te Esperaba (Lyric Video),"La letra de ¡°Te Esperaba¡± surgi¨® en coautor¨ªa con Gian Marco, compositor peruano con m¨¢s de 20 a?os de trayectoria, ¡°pensando que siempre todos tenemos esa certeza de que va a llegar esa persona que te va a cambiar la vida¡±, seg¨²n cuenta Carlos Rivera en el documental de Guerra.

Dale click en la manita arriba y tambi¨¦n guarda el video en tus playlists para verlo cuando quieras.
Para enterarte de todos los lanzamientos de Carlos Rivera solo suscr¨ªbete al canal y activa la campanita ?

?Escucha ?Te Esperaba? del ¨¢lbum ?Guerra? en tu plataforma favorita!
¡ú https://CarlosR.lnk.to/Guerra

Escucha a Carlos Rivera y suscr¨ªbete a su canal en YouTube Music:
¡ú http://smarturl.it/YTMCCarlosRivera

Mira en YouTube la playlist de ¨¦xitos de Carlos Rivera y ve sus mejores videos:
¡ú Playlist: https://www.youtube.com/playlist?list=PLsZLclfU1WyrCW28kkEO0FtO1aPZlFD_t

¡ú Ser¨ªa M¨¢s F¨¢cil: https://www.youtube.com/watch?v=uxq0zBPBfUk&list=PLsZLclfU1WyrCW28kkEO0FtO1aPZlFD_t&index=2&t=0s
¡ú Que Lo Nuestro Se Quede Nuestro: https://www.youtube.com/watch?v=S4lZHCgefMI&list=PLsZLclfU1WyrCW28kkEO0FtO1aPZlFD_t&index=3&t=0s
¡ú Me Muero: https://www.youtube.com/watch?v=eque7FLe-5U&list=PLsZLclfU1WyrCW28kkEO0FtO1aPZlFD_t&index=4&t=0s

Tambi¨¦n checa la playlist oficial con lo mejor de Carlos Rivera:
¡ú Spotify: https://spoti.fi/2snZjoF
¡ú Apple Music: https://apple.co/2Cf7Z5y

Y no te olvides de seguir a Carlos Rivera:
¡ú Facebook: https://www.facebook.com/carlosrivera.mx
¡ú Twitter: https://twitter.com/_carlosrivera
¡ú Instagram: https://www.instagram.com/_carlosrivera
¡ú Web: https://www.carlosrivera.com.mx/

Letra de ?Te Esperaba?

Te ped¨ª
con mi fuerza
al universo.
Te escrib¨ª en un par de versos
que mand¨¦ volando al cielo.
Te ped¨ª.

Te so?¨¦
y te am¨¦ sin conocerte.
Mis abrazos te llamaban
a un ladito de la cama.
Te so?¨¦.

Present¨ª
cada d¨ªa tu mirada,
tu llegada.
Me rend¨ª
ante el brillo de tu alma.

S¨ª, soy aquel que desde siempre te esperaba.
Pudo admitir que, aunque fuera una locura, no dudaba.
S¨ª, en mi coraz¨®n tu espacio yo guardaba
y ahora que est¨¢s aqu¨ª
veo el amor convertido en ti.

Te encontr¨¦.
Al final de la escalera,
en la guerra de mi vida
t¨² hab¨ªas sido mi bandera.
Y te encontr¨¦

Present¨ª
cada d¨ªa tu mirada
tu llegada.
Me rend¨ª
ante el brillo de tu alma.

S¨ª, soy aquel que desde siempre te esperaba.
Pudo admitir que, aunque fuera una locura, no dudaba.
S¨ª, s¨ª, s¨ª en mi coraz¨®n tu espacio yo guardaba.
Y ahora que est¨¢s aqu¨ª
veo el amor convertido en ti.

#CarlosRivera #Guerra #TeEsperaba

Director de Video: Alexis Gudi?o
Realizador de Video: Alexis Gudi?o

(C) 2019 Sony Music Entertainment M¨¦xico, S.A. de C.V.",carlos rivera te esperaba lyric video,carlos rivera te esperaba letras,carlos rivera te esperaba lyrics,carlos rivera,te esperaba,te esperaba letras,te esperaba video,carlos rivera te esperaba video,carlos rivera 2019,pop,pop en espa?ol,pop romantico,romanticas,musica romantica,pop latino,baladas,baladas romanticas,ballads,pop ballads,baladas pop,baladas en espa?ol,te pedi,te so?e,aquel que desde siempre te esperaba,,,,,,,,,,,,,,,,,,,,,,,,,
